nhru_v1_1,i,j,wght
2127,18,116,0.0008344719234092398
2127,19,115,0.006464204622673997
2127,18,115,0.01134992621301495
2127,19,114,0.0018031089556833407
2127,18,114,0.012519906524383137
2127,19,113,0.010828228514161401
2127,18,113,0.012519906524375277
2127,17,113,0.012510123704724997
2127,17,115,0.004793146498559356
2127,16,115,0.0019353075239910633
2127,15,115,0.007088988216951201
2127,17,114,0.012510123704729832
2127,16,114,0.012500334062744164
2127,15,114,0.01249053760334106
2127,16,113,0.012500334062740471
2127,15,113,0.012490537603335022
2127,16,112,0.012500334062741886
2127,20,112,0.0017201678205853125
2127,19,112,0.00900836302146352
2127,21,111,0.0013360419041298299
2127,20,111,0.012539451677680414
2127,19,111,0.012529682516986199
2127,20,110,0.008625077219932923
2127,19,110,0.012529682516981156
2127,20,109,0.0008549390074285802
2127,19,109,0.007405858062637889
2127,18,112,0.012519906524379844
2127,17,112,0.012510123704724388
2127,18,111,0.01251990652438209
2127,17,111,0.012510123704727972
2127,18,110,0.012519906524372721
2127,17,110,0.01251012370471947
2127,16,110,0.012500334062735256
2127,18,109,0.01212540598576436
2127,17,109,0.012510123704728553
2127,16,109,0.01250033406274477
2127,15,112,0.01249053760333939
2127,14,112,0.012480734331291946
2127,16,111,0.012500334062743625
2127,15,111,0.012490537603341529
2127,14,111,0.012480734331295734
2127,15,110,0.012490537603332774
2127,14,110,0.012480734331286296
2127,15,109,0.01249053760334178
2127,14,109,0.012480734331293588
2127,15,108,0.012490537603337563
2127,17,108,0.01251012370472918
2127,16,108,0.012500334062743078
2127,17,107,0.010182437013044677
2127,16,107,0.012500334062741201
2127,17,106,0.006907276901262318
2127,16,106,0.012163662061687421
2127,15,106,0.008925522147365026
2127,16,105,0.0020209356848587532
2127,15,105,0.00017892086447593398
2127,16,104,1.4670402720358968e-05
2127,14,108,0.01248073433129567
2127,13,108,0.012470924251477613
2127,15,107,0.012490537603339888
2127,14,107,0.012412562145035028
2127,13,107,0.011350243483396541
2127,14,106,0.003365392487497824
2127,13,106,0.00037744962933553065
2127,9,110,0.0011434552137034011
2127,10,109,0.012441453213660341
2127,9,109,0.012431615951025474
2127,8,109,0.0089538497583905
2127,10,108,0.006814445600904642
2127,9,108,0.01178536225722779
2127,8,108,0.004159387176186085
2127,9,107,0.003669101139781849
2127,21,110,0.0001388023059088588
2127,18,108,0.00642960432713299
2127,18,107,0.0004866266208978529
2127,17,105,0.004229458661107225
2127,17,104,0.0008355324452332137
2422,21,135,0.0023258684915467903
2422,20,134,0.07409036791092281
2422,20,133,0.13284702537665802
2422,21,134,0.38324750791632045
2422,21,133,0.33496777217677043
2422,21,132,1.2992185238265731e-05
2422,20,132,0.00547653747112825
1414,43,88,0.04388749125493858
1414,43,87,0.05538261638275061
1416,42,88,0.007912777617185205
1416,42,87,0.060501549554132505
1416,41,87,9.981560808158997e-05
1416,43,88,0.02089193649310048
1416,43,87,0.05437915794195516
1416,43,86,0.08028278997769478
1416,42,86,0.07064106972798086
1416,43,85,0.07651934337814686
1416,42,85,0.022688135782232118
1416,43,84,0.013839171804293319
1416,41,86,0.008206466022844527
1417,43,99,0.007250824263459838
1417,43,98,0.03042813469261512
1418,43,102,0.0005408442391953555
1421,43,103,0.27773057373718363
1421,43,102,0.5220293938961076
1421,43,101,0.08110478100231557
1422,43,104,0.07411325808184947
1422,43,103,0.8731181472168562
1423,42,104,0.012912421619430157
1423,43,105,0.28265159546778673
1423,43,104,0.4706634440010668
1423,43,103,0.0016911689076563607
1424,43,91,0.004229233080372322
1424,42,91,0.014561250922757141
1424,40,93,0.0014253905955368678
1424,41,92,8.76947064854213e-06
1424,40,92,0.03634400485425083
1424,41,91,0.03867979385466519
1424,40,91,0.032496328706907385
1424,39,92,0.006585997067225986
1424,43,90,0.051193819853953805
1424,42,90,0.04687550652618968
1424,41,90,0.00701447498093726
1424,42,89,0.026391587110815004
1424,42,88,0.0005311152105715392
1424,39,91,0.00010289985031237435
1424,43,89,0.05522285196373207
1424,43,88,0.023796878527041522
1425,40,93,0.0026200384037617075
1425,40,92,6.721793043482156e-05
1425,41,91,0.00626025596485374
1425,40,91,0.04429251492500972
1425,39,93,0.019639737545305028
1425,39,92,0.06394722018522218
1425,38,92,0.0015885637235021305
1425,38,91,0.0007550560381363579
1425,42,90,0.012353126340506762
1425,41,90,0.09431093109978993
1425,42,89,0.05641914905602934
1425,41,89,0.108057201474308
1425,42,88,0.09643159892192067
1425,41,88,0.10805720147429003
1425,42,87,0.026583382317557705
1425,41,87,0.08330581878499095
1425,40,87,5.633000671040081e-06
1425,39,91,0.0558326567279959
1425,40,90,0.08891577830029185
1425,39,90,0.002290971989281189
1425,40,89,0.03580261429344236
1425,40,88,0.05636190101663254
1425,43,88,0.005753102648479791
1425,42,86,0.005194766417115644
1425,41,86,0.025153561420441395
1426,39,102,0.1162414248236904
1426,39,101,0.19568438998012572
1426,41,102,0.01165201093344401
1426,40,102,0.1989681243473664
1426,41,101,0.042583080702555676
1426,40,101,0.3889068424205912
1426,40,100,0.03783901826349914
1426,39,100,0.008125108528728239
1427,39,101,0.002578008526167086
1427,38,100,0.03303426923409068
1427,38,99,0.12779058127789145
1427,40,101,0.0017851343227577934
1427,40,100,0.09954524902493407
1427,39,100,0.19092225067899218
1427,40,99,0.043140056022738967
1427,39,99,0.20016683370394536
1427,40,98,0.007811837022987809
1427,39,98,0.1782385810347406
1427,39,97,0.016211805711564234
1427,38,98,0.09779208255227946
1427,38,97,0.0009833108866165363
1428,40,109,1.0000000000000013
1429,41,112,4.674005183236079e-06
1429,40,107,0.029479782954821444
1429,39,107,0.0006696703463709586
1429,40,106,0.038375164390381904
1429,39,106,0.013044809650976862
1429,40,105,0.038375164390398314
1429,39,105,0.028625017247857886
1429,40,104,0.038375164390387365
1429,39,104,0.027568708128127714
1429,39,103,0.03422947804722913
1429,39,102,0.013673032408066482
1429,43,107,0.005757932482139294
1429,41,108,0.01290642842731537
1429,40,108,0.006926311876960393
1429,41,107,0.036986365767177426
1429,42,107,0.012596225406024567
1429,43,106,0.03774327296927081
1429,42,106,0.03811877528713738
1429,41,106,0.038404170415228735
1429,42,105,0.03843315553481661
