,nhru_v1_1,i,j,wght
510,2106,8,124,0.002375235916409556
511,2106,9,123,0.002377118251079441
512,2106,7,124,0.0023733522855415865
513,2106,8,123,0.002375235916410535
514,2106,3,128,0.0023658048187317382
515,2106,1,129,7.373866065358994e-05
516,2106,4,127,0.002367693625068449
517,2106,2,128,0.0016587157666600601
518,2106,3,127,0.002365804818731944
519,2106,1,128,9.18693812634671e-05
520,2106,4,126,0.002367693625068671
521,2106,2,127,0.0014589666795887242
522,2106,3,126,0.002365804818731093
523,2106,5,127,0.0023695811389391175
524,2106,6,126,0.0023714673594002456
525,2106,7,125,0.0023733522855415162
526,2106,5,126,0.0023695811389385993
527,2106,6,125,0.0023714673594011242
528,2106,5,125,0.0023695811389390963
529,2106,6,124,0.002371467359400742
530,2106,4,125,0.002367693625067919
531,2106,5,124,0.002369581138937907
532,2106,6,123,0.002371467359401306
533,2106,2,126,0.0017134707262358986
534,2106,3,125,0.002365655591819425
535,2106,2,125,0.0008584628132315079
536,2106,3,124,0.0023483966177819345
537,2106,2,124,0.0007468941294596677
538,2106,3,123,0.0020112913040407467
539,2106,2,123,0.00028728425456276004
540,2106,4,124,0.0023676936250685327
541,2106,5,123,0.0023695811389397906
542,2106,6,122,0.0023714673594009885
543,2106,4,123,0.0023676936250691108
544,2106,5,122,0.0023695811389396375
545,2106,6,121,0.0023714673594004265
546,2106,4,122,0.0020366280431796226
547,2106,5,121,0.0023695811389379227
548,2106,4,121,0.002350520215835011
549,2106,5,120,0.0023695811389390646
550,2106,15,117,0.002388384987089973
551,2106,14,117,0.0023865104490580417
552,2106,13,117,0.0023846346092745462
553,2106,15,116,0.0023883849870901816
554,2106,14,116,0.002363626258973496
555,2106,13,116,0.0023115143354008913
556,2106,14,115,0.00035532891900346824
557,2106,13,115,0.00041913291979852886
558,2106,10,119,0.0023789992886402754
559,2106,9,119,0.002377118251079314
560,2106,10,118,0.0023789992886396293
561,2106,9,118,0.002377118251079841
562,2106,10,117,0.0023789992886404177
563,2106,9,117,0.00237711825107902
564,2106,8,117,0.0023752359164100024
565,2106,10,116,0.002378999288640111
566,2106,9,116,0.0023771182510793983
567,2106,8,116,0.001532091271372186
568,2106,11,118,0.0023808790281344312
569,2106,12,117,0.0023827574686583705
570,2106,11,117,0.0023808790281342066
571,2106,12,116,0.002382757468658286
572,2106,11,116,0.002380879028134895
573,2106,12,115,0.0016771221536483953
574,2106,11,115,0.002313109204611171
575,2106,10,115,0.0023789992886397503
576,2106,11,114,0.0007676779772306338
577,2106,7,119,0.0023733522855416806
578,2106,8,118,0.0023752359164101945
579,2106,6,119,0.00237146735940099
580,2106,7,118,0.002373352285540939
581,2106,6,118,0.0023714673594010674
582,2106,7,117,0.002216320939214817
583,2106,6,117,0.0020311713955459164
584,2106,5,117,6.046839512299165e-05
585,2106,7,116,0.00037855750516111266
586,2106,6,116,0.00028846846178592656
587,2106,9,115,0.002266765516884433
588,2106,8,115,0.00034977130436461237
589,2106,9,114,0.0016842561689879593
590,2106,9,113,0.00045303162378989274
591,2106,10,114,0.0023340649341899644
592,2106,10,113,0.0009629566074059904
593,2106,19,116,0.0016817755013572044
594,2106,18,116,0.002234436775653499
595,2106,19,115,8.388016901074036e-05
596,2106,18,115,0.00022371842586622843
597,2106,16,116,0.002390258222438342
598,2106,17,115,0.001475606021952894
599,2106,16,115,0.0020201973345497924
600,2106,15,115,0.0010328602235680341
601,2106,3,122,0.00024958227531885884
602,2106,3,121,0.0005371002960139345
603,2106,4,120,0.0023676936250687803
604,2106,5,119,0.0023695811389397364
605,2106,3,120,0.0015141708251175797
606,2106,4,119,0.002363318157465628
607,2106,5,118,0.001733337155085437
608,2106,3,119,0.0004469839361618552
609,2106,4,118,0.0017568750664568459
610,2106,4,117,0.00021453857425218623
611,2127,14,116,0.00011967745498406147
612,2127,13,116,0.00038239711575915056
613,2127,14,115,0.010622470588904144
614,2127,13,115,0.010278984709138407
615,2127,14,114,0.012480734331295637
616,2127,13,114,0.012470924251481256
617,2127,12,115,0.003690261194908778
618,2127,11,115,0.0003544158641329044
619,2127,12,114,0.012461107368699171
620,2127,11,114,0.008436557965733464
621,2127,14,113,0.012480734331292886
622,2127,13,113,0.012470924251476995
623,2127,12,113,0.012461107368692801
624,2127,13,112,0.012470924251481406
625,2127,12,112,0.012461107368693335
626,2127,13,111,0.012470924251479484
627,2127,12,111,0.012461107368696798
628,2127,13,110,0.012470924251472915
629,2127,12,110,0.012461107368689316
630,2127,11,110,0.008291790698001464
631,2127,10,114,0.00023499320544269353
632,2127,11,113,0.012451283687788492
633,2127,10,113,0.004871075185680061
634,2127,11,112,0.007736029134236068
635,2127,10,112,0.000635900917003499
636,2127,11,111,0.01078916047396779
637,2127,10,111,0.0018356433451288338
638,2127,10,110,0.0008930605205789029
639,2127,13,109,0.012470924251485535
640,2127,12,109,0.012461107368696695
641,2127,11,109,0.012451283687792528
642,2127,12,108,0.012384113074291303
643,2127,11,108,0.011063444835658808
644,2127,12,107,0.004363010769261479
645,2127,11,107,0.007973829548483595
646,2127,10,107,0.00023939498187485115
647,2127,12,106,0.0008754215327242205
648,2127,11,106,1.6434630380175172e-05
649,2127,8,110,0.0008780594746163064
650,2127,20,114,2.1882561745001777e-05
651,2127,20,113,0.002663786707788631
652,2127,21,112,0.00012198421285158536
653,2127,19,116,0.0006082060520566689
654,2127,18,116,0.0008344719234092398
655,2127,19,115,0.006464204622673997
656,2127,18,115,0.01134992621301495
657,2127,19,114,0.0018031089556833407
658,2127,18,114,0.012519906524383137
659,2127,19,113,0.010828228514161401
660,2127,18,113,0.012519906524375277
661,2127,17,113,0.012510123704724997
662,2127,17,115,0.004793146498559356
663,2127,16,115,0.0019353075239910633
664,2127,15,115,0.007088988216951201
665,2127,17,114,0.012510123704729832
666,2127,16,114,0.012500334062744164
667,2127,15,114,0.01249053760334106
668,2127,16,113,0.012500334062740471
669,2127,15,113,0.012490537603335022
670,2127,16,112,0.012500334062741886
671,2127,20,112,0.0017201678205853125
672,2127,19,112,0.00900836302146352
673,2127,21,111,0.0013360419041298299
674,2127,20,111,0.012539451677680414
675,2127,19,111,0.012529682516986199
676,2127,20,110,0.008625077219932923
677,2127,19,110,0.012529682516981156
678,2127,20,109,0.0008549390074285802
679,2127,19,109,0.007405858062637889
680,2127,18,112,0.012519906524379844
681,2127,17,112,0.012510123704724388
682,2127,18,111,0.01251990652438209
683,2127,17,111,0.012510123704727972
684,2127,18,110,0.012519906524372721
685,2127,17,110,0.01251012370471947
686,2127,16,110,0.012500334062735256
687,2127,18,109,0.01212540598576436
688,2127,17,109,0.012510123704728553
689,2127,16,109,0.01250033406274477
690,2127,15,112,0.01249053760333939
691,2127,14,112,0.012480734331291946
692,2127,16,111,0.012500334062743625
693,2127,15,111,0.012490537603341529
694,2127,14,111,0.012480734331295734
695,2127,15,110,0.012490537603332774
696,2127,14,110,0.012480734331286296
697,2127,15,109,0.01249053760334178
698,2127,14,109,0.012480734331293588
699,2127,15,108,0.012490537603337563
700,2127,17,108,0.01251012370472918
701,2127,16,108,0.012500334062743078
702,2127,17,107,0.010182437013044677
703,2127,16,107,0.012500334062741201
704,2127,17,106,0.006907276901262318
705,2127,16,106,0.012163662061687421
706,2127,15,106,0.008925522147365026
707,2127,16,105,0.0020209356848587532
708,2127,15,105,0.00017892086447593398
709,2127,16,104,1.4670402720358968e-05
710,2127,14,108,0.01248073433129567
711,2127,13,108,0.012470924251477613
712,2127,15,107,0.012490537603339888
713,2127,14,107,0.012412562145035028
714,2127,13,107,0.011350243483396541
715,2127,14,106,0.003365392487497824
716,2127,13,106,0.00037744962933553065
717,2127,9,110,0.0011434552137034011
718,2127,10,109,0.012441453213660341
719,2127,9,109,0.012431615951025474
720,2127,8,109,0.0089538497583905
721,2127,10,108,0.006814445600904642
722,2127,9,108,0.01178536225722779
723,2127,8,108,0.004159387176186085
724,2127,9,107,0.003669101139781849
725,2127,21,110,0.0001388023059088588
726,2127,18,108,0.00642960432713299
727,2127,18,107,0.0004866266208978529
728,2127,17,105,0.004229458661107225
729,2127,17,104,0.0008355324452332137
730,2422,21,135,0.0023258684915467903
731,2422,20,134,0.07409036791092281
732,2422,20,133,0.13284702537665802
733,2422,21,134,0.38324750791632045
734,2422,21,133,0.33496777217677043
735,2422,21,132,1.2992185238265731e-05
736,2422,20,132,0.00547653747112825
737,1414,43,88,0.04388749125493858
738,1414,43,87,0.05538261638275061
739,1416,42,88,0.007912777617185205
740,1416,42,87,0.060501549554132505
741,1416,41,87,9.981560808158997e-05
742,1416,43,88,0.02089193649310048
743,1416,43,87,0.05437915794195516
744,1416,43,86,0.08028278997769478
745,1416,42,86,0.07064106972798086
746,1416,43,85,0.07651934337814686
747,1416,42,85,0.022688135782232118
748,1416,43,84,0.013839171804293319
749,1416,41,86,0.008206466022844527
750,1417,43,99,0.007250824263459838
751,1417,43,98,0.03042813469261512
